No.,Source,Destination,Protocol,Length,Info,Arrival Time,Potential Drop
136441,Malicious IP 26,Non-Malicious IP 32,TCP,62,54459  >  5800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:23,No
138325,Malicious IP 20,Non-Malicious IP 33,TCP,62,53617  >  5985 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:24,Yes
139482,Malicious IP 23,Non-Malicious IP 34,TCP,62,64061  >  5000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:24,No
143464,Malicious IP 33,Non-Malicious IP 35,DNS,76,Standard query 0x34ef TXT VERSION.BIND,4/27/2020 12:26,Yes
143486,Malicious IP 14,Non-Malicious IP 36,TCP,62,51971  >  389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:26,No
144518,Malicious IP 11,Non-Malicious IP 37,TCP,62,51208  >  2323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:26,No
145755,Malicious IP 33,Non-Malicious IP 38,DNS,76,Standard query 0x34ef TXT VERSION.BIND,4/27/2020 12:26,Yes
148822,Malicious IP 24,Non-Malicious IP 39,TCP,62,53110  >  118 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:28,No
150052,Malicious IP 28,Non-Malicious IP 40,TCP,62,65489  >  3052 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:28,No
150820,Malicious IP 11,Non-Malicious IP 41,TCP,62,57620  >  8009 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:29,No
151989,Malicious IP 25,Non-Malicious IP 42,TCP,62,52195  >  5222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:29,No
153576,Malicious IP 4,Non-Malicious IP 43,TCP,62,54669  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:30,No
155605,Malicious IP 37,Non-Malicious IP 44,TCP,62,64484  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:31,No
159118,Malicious IP 39,Non-Malicious IP 45,TCP,62,56512  >  11211 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:32,Yes
159865,Malicious IP 1,Non-Malicious IP 46,TCP,62,51319  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:32,No
163822,Malicious IP 25,Non-Malicious IP 47,TCP,62,61954  >  9443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:34,No
164163,Malicious IP 12,Non-Malicious IP 48,TCP,62,50334  >  2121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:34,No
164727,Malicious IP 37,Non-Malicious IP 49,TCP,62,63506  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:34,No
169087,Malicious IP 22,Non-Malicious IP 50,TCP,62,60863  >  5904 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:36,No
170251,Malicious IP 33,Non-Malicious IP 51,TCP,62,53432  >  5909 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:36,Yes
171294,Malicious IP 27,Non-Malicious IP 52,TCP,62,61787  >  888 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:37,Yes
171973,Malicious IP 39,Non-Malicious IP 53,TCP,62,53159  >  3443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:37,Yes
174862,Malicious IP 39,Non-Malicious IP 54,TCP,62,53159  >  3443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:38,Yes
178010,Malicious IP 25,Non-Malicious IP 55,TCP,62,34247  >  3333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:40,Yes
180990,Malicious IP 30,Non-Malicious IP 56,NAT-PMP,50,External Address Request,4/27/2020 12:41,No
181482,Malicious IP 16,Non-Malicious IP 57,TCP,62,62926  >  6443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:41,No
181633,Malicious IP 22,Non-Malicious IP 58,TCP,62,53034  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:41,No
182046,Malicious IP 37,Non-Malicious IP 59,TCP,62,49694  >  3493 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:41,No
182285,Malicious IP 19,Non-Malicious IP 60,TCP,62,56835  >  5907 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:41,Yes
182801,Malicious IP 16,Non-Malicious IP 61,TCP,62,62926  >  6443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:41,No
183437,Malicious IP 22,Non-Malicious IP 62,TCP,62,53034  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:42,No
185199,Malicious IP 22,Non-Malicious IP 63,TCP,62,53034  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:42,No
188118,Malicious IP 42,Non-Malicious IP 64,TCP,58,15091  >  23 [SYN] Seq=0 Win=10467 Len=0,4/27/2020 12:44,Yes
189539,Malicious IP 4,Non-Malicious IP 65,TCP,62,63927  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:44,No
190945,Malicious IP 4,Non-Malicious IP 66,TCP,62,63927  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:45,Yes
192808,Malicious IP 2,Non-Malicious IP 67,ENIP,70,List Identity (Req),4/27/2020 12:45,No
193370,Malicious IP 8,Non-Malicious IP 68,TCP,62,49718  >  9000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:46,No
